"TIME","GEO","DURATION","PURPOSE","DEST","TINFO","UNIT","Value","Flag and Footnotes"
"2009Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","3,676",""
"2009Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2009Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":","u"
"2009Q1","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","61,843",""
"2009Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","33,684",""
"2009Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2009Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
"2009Q2","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","48,587",""
"2009Q2","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","12,150",""
"2009Q2","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","6,720",""
"2009Q2","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2009Q2","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","125,368",""
"2009Q2","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","28,745",""
"2009Q2","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","54,120",""
"2009Q2","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","44,874",""
"2009Q2","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","8,240",""
"2009Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro",":","u"
"2009Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2009Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":","u"
"2009Q2","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","83,924",""
"2009Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","38,423",""
"2009Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro","25,185",""
"2009Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro","12,945",""
"2009Q3","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","109,608",""
"2009Q3","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","42,002",""
"2009Q3","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","7,837",""
"2009Q3","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2009Q3","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","410,015",""
"2009Q3","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","114,210",""
"2009Q3","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","132,518",""
"2009Q3","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","104,208",""
"2009Q3","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro",":","u"
"2009Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro",":","u"
"2009Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":",""
"2009Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":",""
"2009Q3","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","72,975",""
"2009Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","32,786",""
"2009Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2009Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
"2009Q4","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","37,387",""
"2009Q4","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","16,422",""
"2009Q4","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","3,606",""
"2009Q4","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2009Q4","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","80,224",""
"2009Q4","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","24,537",""
"2009Q4","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","34,522",""
"2009Q4","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","28,971",""
"2009Q4","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","9,509",""
"2009Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","6,965",""
"2009Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2009Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":",""
"2009Q4","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","48,548",""
"2009Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","24,306",""
